UniProt ID,No. of Valid Modified Peptides,No. of Significant Modified Peptides (P-value),No. of Significant Modified Peptides (Adj. P-value),No. of Valid Peptides,No. of Significant Peptides (P-value),No. of Significant Peptides (Adj. P-value),No. of Valid Cut Sites,No. of Significant Cut Sites (P-value),No. of Significant Cut Sites (Adj. P-value),Retained,Perturbed,S/T Avg,P-Value
P26637,81,2,0,80,4,0,74,2,0,TRUE,FALSE,0.423032888,0.000356631
Q99257,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.19549377,0.004304928
Q08920,4,0,0,4,0,2,4,0,0,FALSE,TRUE,0.299621865,1.01E-05
Q08925,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.127815062,9.47E-05
P38996,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.247304856,5.62E-06
Q08951,2,1,2,2,1,2,2,1,2,FALSE,TRUE,0.107322202,5.73E-05
P06245,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.298831861,7.81E-05
Q08961,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.363018231,2.64E-05
P38688,4,1,2,4,1,2,4,1,2,FALSE,TRUE,0.273656545,7.56E-07
Q08962,5,0,3,5,0,3,5,0,3,FALSE,TRUE,0.214314312,0.000253356
Q12211,11,0,0,11,0,0,11,0,0,TRUE,FALSE,0.311845116,2.09E-06
Q08965,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.142962253,0.00012458
P20606,4,2,4,4,2,4,4,2,4,FALSE,TRUE,0.135486757,1.03E-06
P0CX43,35,5,7,34,11,15,27,3,4,FALSE,TRUE,0.214796185,0.01065301
Q08971,10,1,0,10,1,0,9,1,0,TRUE,FALSE,0.335155519,1.57E-05
Q08972,73,11,11,73,4,4,67,11,11,FALSE,TRUE,0.249099479,1.58E-06
O13297,5,1,1,5,1,1,5,1,1,TRUE,FALSE,0.389275399,6.75E-05
P19097,154,8,4,153,10,5,135,8,3,FALSE,TRUE,0.369487048,0.00057302
Q12464,9,0,1,9,0,1,9,0,1,TRUE,FALSE,0.346856285,0.000177624
P09064,16,1,0,16,0,0,14,1,0,TRUE,FALSE,0.246334065,1.08E-06
P46683,5,1,0,5,1,0,5,1,0,TRUE,FALSE,0.43355627,0.015269798
P02829,10,1,0,10,1,0,10,1,0,TRUE,FALSE,0.405861629,9.27E-05
P38687,4,2,2,4,2,2,4,2,2,FALSE,TRUE,0.27203146,0.000229442
Q00776,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.224978523,0.001822437
Q08977,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.468237382,2.99E-05
P08417,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.403696413,0.011713511
Q08979,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.281897942,0.000161397
P41819,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.236429071,5.39E-05
Q08985,19,0,0,19,0,0,17,0,0,TRUE,FALSE,0.388757551,0.000170932
Q12480,7,0,0,7,0,0,6,0,0,TRUE,FALSE,0.431969527,6.87E-05
P22138,11,5,8,11,5,8,11,5,8,FALSE,TRUE,0.194242984,1.03E-07
Q12522,7,1,0,7,1,0,7,1,0,TRUE,FALSE,0.381868845,9.88E-05
Q12402,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.137018797,0.008564603
Q12028,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.255302109,0.001544349
Q12038,2,1,2,2,1,2,2,1,2,FALSE,TRUE,0.169720527,0.000316794
P07263,24,1,0,24,3,1,17,1,0,TRUE,FALSE,0.398618644,0.000461408
P32288,48,1,0,47,1,0,42,1,0,TRUE,FALSE,0.427800151,0.001202103
