UniProt ID,No. of Valid Modified Peptides,No. of Significant Modified Peptides (P-value),No. of Significant Modified Peptides (Adj. P-value),No. of Valid Peptides,No. of Significant Peptides (P-value),No. of Significant Peptides (Adj. P-value),No. of Valid Cut Sites,No. of Significant Cut Sites (P-value),No. of Significant Cut Sites (Adj. P-value),Retained,Perturbed,S/T Avg,P-Value
P38116,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.348892838,0.000502396
P20049,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.410006421,0.000265647
P32590,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.458895187,8.67E-05
P33755,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.351282324,0.000475033
P32909,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.149140644,0.000390549
P38301,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.171197678,0.108185521
Q02753,16,1,1,16,1,1,16,1,1,TRUE,FALSE,0.207158678,0.003943909
P12709,97,4,0,88,4,0,66,3,0,TRUE,FALSE,0.366268582,0.000161754
P38129,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.167058079,3.70E-08
P38131,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.13246711,0.00578856
P29366,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.205429196,0.000802111
P38130,3,3,3,3,3,3,3,3,3,FALSE,TRUE,0.105012269,0.016590601
P32528,19,1,0,19,1,0,19,1,0,TRUE,FALSE,0.293258919,7.21E-06
P38314,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.389551889,0.000223919
P32327,48,1,0,48,1,0,43,1,0,TRUE,FALSE,0.375064456,0.000487914
P32473,25,1,1,25,7,7,23,2,2,FALSE,TRUE,0.204665341,8.16E-05
P38137,4,1,1,4,1,1,4,1,1,TRUE,FALSE,0.233108582,0.00110002
P38328,8,0,0,8,0,0,8,0,0,TRUE,FALSE,0.439520483,0.000111053
P38143,6,1,1,6,1,1,6,1,1,TRUE,FALSE,0.268554987,3.43E-05
P38144,6,1,2,6,1,2,6,1,2,FALSE,TRUE,0.254795267,0.000502102
P38332,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.321486765,0.000119263
P38333,6,2,3,6,2,3,6,2,3,FALSE,TRUE,0.177923769,0.000163295
P33734,12,0,0,12,0,0,12,0,0,TRUE,FALSE,0.479404304,0.000404074
P32449,40,4,5,39,4,5,37,4,5,FALSE,TRUE,0.648635415,0.000521392
P33317,8,3,8,8,3,8,8,3,8,FALSE,TRUE,0.770248789,0.036205429
P32570,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.222512406,0.004257743
P38145,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.495035351,0.009798852
P38339,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.224382379,9.33E-06
P37292,30,0,0,30,0,0,29,0,0,TRUE,FALSE,0.427835521,0.000642843
P38344,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.27025862,0.000232141
P38345,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.482227986,0.002964268
P38348,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.392188367,0.007438657
P38351,4,1,1,4,1,1,4,1,1,TRUE,FALSE,0.245261314,0.002030614
P38149,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.388338891,4.23E-05
P38353,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.023981498,0.002796713
P37302,34,1,1,34,1,1,27,1,1,TRUE,FALSE,0.454923066,1.20E-05
P25605,10,6,7,10,6,7,9,5,6,FALSE,TRUE,0.082475891,0.005811079
P25555,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.214973338,6.97E-05
P25374,4,0,1,4,1,2,4,0,1,FALSE,TRUE,0.229788079,0.003092345
P00815,47,4,2,47,4,2,45,4,2,FALSE,TRUE,0.449643221,0.000148638
P25344,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.166425999,0.003989586
P25566,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.31741712,0.000386198
P25369,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.409467735,0.001256037
P25373,7,1,1,7,1,1,7,1,1,TRUE,FALSE,0.706083934,0.014109775
P25567,14,6,9,14,6,9,13,5,8,FALSE,TRUE,0.165649869,0.002844718
P17709,35,3,1,35,3,1,33,3,2,TRUE,FALSE,0.53703154,5.99E-05
P17967,38,1,1,38,1,0,35,1,1,TRUE,FALSE,0.315828558,3.07E-05
P25576,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.414751366,0.045198145
P16550,16,1,0,15,1,0,13,1,0,TRUE,FALSE,0.315339753,5.15E-05
P25582,2,0,1,2,0,1,2,0,1,TRUE,FALSE,0.258045992,7.13E-05
P25375,8,0,0,8,0,0,7,0,0,TRUE,FALSE,0.346151052,8.79E-05
P25586,5,4,4,5,4,4,5,4,4,FALSE,TRUE,0.161132192,0.000896876
P25588,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.119024117,0.000451182
P25379,3,2,3,3,2,3,3,2,3,FALSE,TRUE,0.074399235,0.000112411
P25342,10,0,0,10,0,0,9,0,0,TRUE,FALSE,0.285576212,2.44E-05
P25349,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.241397688,0.006369448
P25343,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.282759966,4.42E-06
P00560,235,8,1,228,8,1,166,8,1,TRUE,FALSE,0.409876411,0.000153892
P25617,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.203027429,0.003492713
P06367,26,3,3,26,3,3,19,1,1,FALSE,TRUE,0.26215278,5.41E-06
P25359,2,0,1,2,0,1,2,0,1,TRUE,FALSE,0.272293763,0.004161221
P25332,5,1,1,5,1,1,5,1,1,TRUE,FALSE,0.799399869,0.041991035
P25361,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.055653632,0.001183517
P25626,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.214529445,0.0099128
P25631,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.321641256,0.000698641
P25632,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.21148905,0.001670937
P16120,60,4,1,60,6,3,47,4,1,FALSE,TRUE,0.49084343,0.000881886
P25635,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.147321022,0.002613366
P25382,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.295616215,1.54E-05
P25659,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.547534855,0.015188309
P25644,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.183277615,0.001914371
P25372,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.37831883,0.026512989
P16649,17,0,0,17,0,0,17,0,0,TRUE,FALSE,0.373069955,3.96E-05
P15891,26,0,0,26,0,0,22,0,0,TRUE,FALSE,0.39079223,2.67E-05
P25654,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.397618132,0.000271985
P25655,11,7,9,11,7,9,11,7,9,FALSE,TRUE,0.136330448,0.000550806
P37262,6,1,1,6,1,1,6,1,1,TRUE,FALSE,0.349268329,0.000549993
P33767,3,2,3,3,2,3,3,2,3,FALSE,TRUE,0.026437093,1.99E-07
P40005,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.49148288,0.001611182
P32775,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.418459207,4.23E-05
P39968,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.070651331,0.000148103
P39993,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.289442076,0.003375558
P39990,7,2,2,7,2,2,6,2,2,FALSE,TRUE,0.136539782,0.000181262
P25515,4,2,2,4,2,2,4,2,2,FALSE,TRUE,0.24743048,0.017247186
P39986,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.024642088,0.000180715
P24279,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.292289205,0.000948247
P23301,31,2,0,26,2,0,21,2,0,TRUE,FALSE,0.336636488,0.000262844
P32629,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.096864076,0.003621306
P32628,12,0,0,12,0,0,12,0,0,TRUE,FALSE,0.407100499,0.001156307
P32626,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.358116321,0.000629195
P32623,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.165689185,2.03E-05
P32621,4,3,3,4,3,3,4,3,3,FALSE,TRUE,0.100111048,1.89E-05
P37303,29,1,0,29,1,0,28,1,0,TRUE,FALSE,0.384075087,0.001542766
P32614,36,5,5,36,5,5,33,4,4,FALSE,TRUE,0.578613503,0.000991226
P32610,10,1,0,10,1,0,10,1,0,TRUE,FALSE,0.346494698,0.000107522
P0CX53,21,2,1,21,4,3,21,2,1,FALSE,TRUE,0.214796185,0.01065301
P39985,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.162145685,0.000820785
P38628,10,2,2,10,2,2,9,2,2,FALSE,TRUE,0.362334616,0.000589683
P09232,7,2,2,7,2,2,7,2,2,FALSE,TRUE,0.297866436,4.54E-05
P39976,37,0,0,37,0,0,33,0,0,TRUE,FALSE,0.409102742,0.000537799
P40007,5,3,4,5,3,4,5,3,4,FALSE,TRUE,0.201669929,0.000184726
P29952,31,1,0,31,1,0,28,1,0,TRUE,FALSE,0.402821682,8.62E-05
P40008,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.145694263,0.006334087
P40010,8,6,8,8,6,8,8,6,8,FALSE,TRUE,0.133818033,3.59E-05
P33331,17,0,0,17,0,0,12,0,0,TRUE,FALSE,0.437398092,0.014201183
P40011,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.437922987,0.001514516
P22141,4,0,0,4,0,0,2,0,0,TRUE,FALSE,0.468924402,0.001694906
P40016,9,0,0,9,0,0,9,0,0,TRUE,FALSE,0.365218099,0.000447256
P32263,17,0,0,17,0,0,17,0,0,TRUE,FALSE,0.422435281,0.001172308
P32481,41,5,6,41,10,11,38,4,5,FALSE,TRUE,0.257299553,3.19E-05
Q04739,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.354186591,0.000731712
P40018,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.223644235,0.000605282
P40019,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.489259539,0.005620363
P38555,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.137046778,5.90E-05
P40024,25,2,4,25,5,7,22,3,4,FALSE,TRUE,0.211314845,1.02E-06
P40029,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.414142609,0.004265006
P39954,70,6,2,69,6,2,59,5,3,FALSE,TRUE,0.570902475,0.000285126
P39101,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.392781281,9.58E-06
P40032,21,1,0,21,2,0,20,1,0,TRUE,FALSE,0.341409711,0.000450988
P10869,20,0,0,20,0,0,19,0,0,TRUE,FALSE,0.531924185,7.42E-05
P00498,27,3,1,27,3,1,24,1,1,TRUE,FALSE,0.672207061,0.00171223
P40037,8,0,0,8,0,0,8,0,0,TRUE,FALSE,0.792373372,0.017368226
P40106,10,0,0,10,0,0,8,0,0,TRUE,FALSE,0.522407886,0.008235917
P40040,9,0,0,9,0,0,8,0,0,TRUE,FALSE,0.333474489,0.000362222
P21524,32,0,0,31,0,0,30,0,0,TRUE,FALSE,0.330758031,0.000306088
P40046,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.019789978,0.006602353
P40047,15,0,0,15,0,0,15,0,0,TRUE,FALSE,0.334739384,7.02E-06
P0CX31,20,2,2,20,3,4,17,2,2,FALSE,TRUE,0.214796185,0.01065301
P40053,8,0,0,8,0,0,8,0,0,TRUE,FALSE,0.357993385,0.000234009
P40054,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.51385903,4.09E-05
P00927,18,2,1,18,2,1,16,2,1,TRUE,FALSE,0.327592403,1.15E-05
P39966,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.417230333,0.000143124
P00899,21,1,1,21,1,1,20,0,0,TRUE,FALSE,0.49539754,0.000128693
P05694,96,2,0,96,3,0,82,2,0,TRUE,FALSE,0.342166223,7.60E-05
P25451,8,0,0,8,0,0,8,0,0,TRUE,FALSE,0.385391626,0.000135906
P38620,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.369302107,1.42E-06
P22202,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.475755742,9.63E-06
P40069,65,2,1,64,2,1,59,1,0,TRUE,FALSE,0.388663829,0.00015783
P40070,3,2,2,3,2,2,3,2,2,FALSE,TRUE,0.260648512,0.006149295
P40075,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.196465624,0.006397274
P38682,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.238258116,1.97E-05
P39940,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.202827885,4.33E-06
P40078,3,0,0,3,0,0,2,0,0,TRUE,FALSE,0.231110706,0.001624407
P40079,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.207253318,5.92E-05
P32598,20,1,1,20,1,1,20,1,1,TRUE,FALSE,0.336694422,3.56E-05
P40081,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.359847456,1.49E-05
P39958,16,0,0,16,0,0,12,0,0,TRUE,FALSE,0.331943971,3.16E-05
P40087,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.280985241,0.000597822
P40089,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.323694931,0.014403352
Q01477,3,2,3,3,2,3,3,2,3,FALSE,TRUE,0.124547777,4.44E-05
P39960,7,4,6,7,4,6,7,4,6,FALSE,TRUE,0.134840598,2.79E-05
P40093,17,1,0,17,1,0,15,1,0,TRUE,FALSE,0.365179953,3.29E-05
P40094,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.28317858,0.002402372
P32657,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.173464813,7.81E-07
P04147,48,16,18,48,9,11,42,15,17,FALSE,TRUE,0.187444956,9.84E-05
P21269,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.448222174,0.000372295
P29311,47,1,0,44,1,0,35,2,1,TRUE,FALSE,0.565227663,0.003678568
P16387,25,4,4,25,4,4,24,4,4,FALSE,TRUE,0.25340164,1.08E-05
P38753,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.308766395,0.00023128
Q03497,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.277931753,2.05E-05
P38689,16,1,1,16,1,1,16,1,1,TRUE,FALSE,0.304563174,0.000228829
P38701,29,3,0,27,3,0,22,4,0,TRUE,FALSE,0.256559785,0.001014386
P23180,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.355321561,1.40E-05
P38737,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.318846085,2.32E-05
P17076,8,0,0,8,0,0,7,0,0,TRUE,FALSE,0.268979809,8.30E-06
P10080,9,6,6,9,6,6,9,6,6,FALSE,TRUE,0.227979416,3.21E-06
P38732,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.292182264,0.003424078
P38755,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.398932552,0.000514636
P08539,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.085278327,0.001316984
P10614,4,2,4,4,2,4,4,2,4,FALSE,TRUE,0.029516192,0.000387111
P00447,11,0,0,11,0,0,11,0,0,TRUE,FALSE,0.290658829,0.004276012
P38758,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.430132475,0.0007976
P0C2H6,36,3,3,36,10,11,23,1,1,FALSE,TRUE,0.275737783,2.92E-06
P38759,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.274942974,7.56E-06
P07347,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.28047717,4.74E-05
P32793,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.217386851,0.000847655
P04076,13,0,0,13,0,0,12,0,0,TRUE,FALSE,0.441205448,3.41E-05
P38707,60,2,0,58,2,0,51,2,0,TRUE,FALSE,0.404826134,0.000493179
P38708,50,0,0,49,0,0,46,0,0,TRUE,FALSE,0.40506482,6.31E-05
P11914,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.401965618,0.000155582
P17423,31,4,5,31,4,5,27,6,7,FALSE,TRUE,0.699745553,0.007636643
P38764,45,5,5,45,8,8,43,5,5,FALSE,TRUE,0.32749706,0.000940114
P38765,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.470678331,9.90E-05
Q00772,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.356147415,0.001156073
P07275,10,0,0,10,0,0,10,0,0,TRUE,FALSE,0.506117641,0.000313014
P16603,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.054557597,5.29E-05
P38710,2,0,1,2,0,1,2,0,1,TRUE,FALSE,0.56339511,0.000454461
P37898,32,0,0,32,0,0,32,0,0,TRUE,FALSE,0.319188529,0.001045358
P38777,17,0,0,17,0,0,17,0,0,TRUE,FALSE,0.4499995,0.001210179
P00427,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.348318795,0.012109669
P38779,16,5,11,16,7,13,16,5,11,FALSE,TRUE,0.222173903,0.000867444
P38787,8,0,0,8,0,0,8,0,0,TRUE,FALSE,0.412963776,0.000654768
P38788,69,4,0,69,5,0,62,3,0,TRUE,FALSE,0.264201418,5.04E-06
P38712,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.17290994,2.66E-05
P38789,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.232974298,4.88E-06
P38791,47,0,0,45,2,0,41,0,0,TRUE,FALSE,0.465501773,0.000121296
P38792,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.270001843,0.000720001
P38793,4,1,2,4,1,2,4,1,2,FALSE,TRUE,0.268086724,0.000102893
P38713,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.098256987,0.001932005
P38795,14,1,1,14,1,1,14,1,1,TRUE,FALSE,0.421095293,0.000716055
P38797,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.360887366,0.003055084
P38801,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.261142938,0.000122567
Q00539,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.169030221,2.32E-05
P38804,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.759907657,0.074442627
P38805,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.208910956,0.002698185
P28007,7,5,5,7,5,5,7,5,5,FALSE,TRUE,0.132818819,0.000847302
P38810,7,2,2,7,4,4,7,2,2,FALSE,TRUE,0.227743648,3.26E-06
P38811,4,1,1,4,1,1,4,1,1,TRUE,FALSE,0.227743648,3.26E-06
P38692,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.211662544,5.40E-05
P38715,19,1,0,19,1,0,19,1,0,TRUE,FALSE,0.365422791,5.65E-05
P38816,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.589980768,0.017045716
P32468,8,1,1,8,1,1,8,1,1,TRUE,FALSE,0.301190021,0.000126618
P38817,11,1,0,11,1,0,11,1,0,TRUE,FALSE,0.364213735,0.000106083
P38820,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.077483224,2.23E-07
P38716,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.523748517,0.000821141
P38821,7,2,2,7,2,2,7,2,2,FALSE,TRUE,0.521052481,0.002718612
P38822,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.341795218,6.88E-05
P38827,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.282225072,8.03E-05
P38828,2,1,2,2,1,2,2,1,2,FALSE,TRUE,0.14147791,1.26E-05
P18562,31,1,0,31,1,0,30,1,0,TRUE,FALSE,0.451207038,0.002345771
P38836,11,0,0,11,0,0,11,0,0,TRUE,FALSE,0.283176021,0.000131516
P38840,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.35028306,0.00026093
P38841,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.671961598,0.164327379
P40422,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.188718501,0.016350996
P38845,10,2,2,10,2,2,10,2,2,FALSE,TRUE,0.385348669,0.00146188
P32899,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.118707251,8.57E-05
P38853,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.233165351,3.08E-06
P38858,8,0,0,8,0,0,8,0,0,TRUE,FALSE,0.425772313,6.33E-05
P33334,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.227606771,2.60E-05
P38719,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.140130683,0.000235067
P38861,18,2,3,18,4,4,17,3,4,FALSE,TRUE,0.244320759,0.001188868
P00925,300,34,6,284,33,6,205,32,10,FALSE,TRUE,0.488131633,0.001022406
Q03558,64,2,0,64,4,0,50,0,0,TRUE,FALSE,0.425014413,0.000545778
P38720,80,1,0,79,1,0,73,1,0,TRUE,FALSE,0.419379608,0.00033328
P38874,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.247101344,0.003898931
P29704,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.067541889,0.007467711
P38879,14,0,0,14,0,0,12,0,0,TRUE,FALSE,0.36983271,0.004291861
P38882,5,2,3,5,2,3,5,2,3,FALSE,TRUE,0.124419573,0.001157632
P38883,4,2,3,4,2,3,4,2,3,FALSE,TRUE,0.188473776,0.005624849
P38886,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.405887303,0.000395043
P38698,13,1,1,13,1,1,12,1,1,TRUE,FALSE,0.3958488,6.32E-05
P11792,3,0,0,3,0,0,2,0,0,TRUE,FALSE,0.257186738,4.68E-05
P38891,45,0,0,45,1,0,39,0,0,TRUE,FALSE,0.369022697,2.90E-05
P38697,9,1,1,9,1,1,9,1,1,TRUE,FALSE,0.25530137,0.000279636
P40554,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.292151376,0.00016941
P39002,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.135609295,0.000129211
P40545,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.425228599,0.000132474
P16370,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.316553749,0.000946637
Q01852,3,0,1,3,0,1,3,0,1,TRUE,FALSE,0.223517466,1.23E-06
P07278,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.290285399,1.70E-05
P13517,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.328383207,0.000402031
P15790,4,1,1,4,1,1,4,1,1,TRUE,FALSE,0.260722275,5.27E-06
P06102,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.157242221,6.99E-05
P40531,12,1,1,12,1,1,12,1,1,TRUE,FALSE,0.286544903,2.78E-05
P38626,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.06710556,8.28E-05
P40529,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.277334118,1.67E-05
P40185,17,0,0,17,0,0,15,0,0,TRUE,FALSE,0.678444855,0.013488107
P40525,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.164808229,0.015470395
P41277,66,1,1,66,1,1,51,1,1,TRUE,FALSE,0.478554415,0.000420837
P40518,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.349371494,7.12E-05
P40517,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.441933501,0.00020128
P40516,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.403516451,0.000613659
P40513,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.200285784,0.005525893
P40510,13,1,1,13,1,1,12,1,1,TRUE,FALSE,0.585841882,0.001689183
P32565,30,1,0,30,1,0,30,1,0,TRUE,FALSE,0.346032287,7.17E-05
P40509,9,1,1,9,1,1,9,1,1,TRUE,FALSE,0.294679994,8.21E-06
P04801,86,3,1,83,5,0,69,1,1,TRUE,FALSE,0.351550417,0.001450366
P40506,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.39037729,3.49E-06
P40505,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.226607557,0.003802885
P40498,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.17699954,1.41E-05
P40495,12,2,2,12,2,2,12,2,2,FALSE,TRUE,0.616146412,0.000698186
P40487,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.253020588,0.003412099
P40483,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.31800055,0.000242988
P40482,20,6,7,20,6,7,20,6,7,FALSE,TRUE,0.20969067,0.00040096
P40481,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.409813572,0.001265475
P07172,8,1,0,8,1,0,8,1,0,TRUE,FALSE,0.438630701,0.000458846
P20967,14,1,1,14,1,1,14,1,1,TRUE,FALSE,0.292735935,8.15E-06
P32597,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.21518723,0.000428382
P40469,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.369703746,0.002640681
P26784,13,1,1,10,1,1,10,1,1,TRUE,FALSE,0.24636173,0.00062666
P40462,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.272023513,0.001852651
P40414,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.772037973,0.031687632
P38928,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.253705563,4.32E-06
P39076,18,0,0,18,0,0,17,0,0,TRUE,FALSE,0.324677704,2.81E-05
P40459,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.527602325,0.001270953
P40563,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.377373855,0.000505231
P32521,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.366375539,4.42E-05
P10363,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.219651357,2.50E-05
P35184,5,2,3,5,2,3,3,2,3,FALSE,TRUE,0.205982147,0.004390401
Q02256,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.360423946,0.000323548
P38998,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.232465703,0.000310367
P40579,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.465356895,0.001055103
P40580,5,1,2,5,1,2,5,1,2,FALSE,TRUE,0.617843934,0.000553763
P40581,11,0,0,11,0,0,11,0,0,TRUE,FALSE,0.327562576,0.007276952
P36108,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.206257377,0.00028934
P36105,26,0,0,26,0,0,21,0,0,TRUE,FALSE,0.182709893,0.005964583
P28495,11,1,1,11,1,1,11,1,1,TRUE,FALSE,0.359075248,0.001099504
P33201,8,0,0,8,0,0,7,0,0,TRUE,FALSE,0.258545343,0.004290089
P33202,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.246669639,3.91E-05
P33204,6,1,1,6,1,1,6,1,1,TRUE,FALSE,0.366001373,0.00021096
P34241,8,6,7,8,6,7,8,6,7,FALSE,TRUE,0.121936091,0.000791716
P34243,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.27335832,5.10E-05
P36104,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.250148017,0.001295675
P20484,5,3,3,5,3,3,5,3,3,FALSE,TRUE,0.254971354,0.000252129
P15700,10,0,0,10,0,0,10,0,0,TRUE,FALSE,0.464312236,0.002467584
P36102,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.235710686,0.000194427
P36013,22,4,3,22,4,3,22,4,3,FALSE,TRUE,0.192169731,1.46E-05
P32861,43,0,0,43,0,0,38,0,0,TRUE,FALSE,0.348677937,0.000143772
P32857,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.160754488,0.002180839
P32860,7,1,1,7,1,1,7,1,1,TRUE,FALSE,0.389597574,0.000156854
P35732,8,3,4,8,1,2,7,3,4,FALSE,TRUE,0.187180514,9.28E-05
