,T,S,P,S/T,P/T,S+P/T,S/S+P,P/S+P
1,8.696256638,3.391946055,6.646520216,0.390046683,0.764296696,1.154343379,0.33789485,0.66210515
2,14.04173355,6.280720898,9.561295487,0.447289565,0.680919877,1.128209443,0.39645969,0.60354031
3,17.20802477,4.131056105,8.637513463,0.240065676,0.501946829,0.742012505,0.323533195,0.676466805
4,9.772676803,2.650717914,6.646520216,0.271237652,0.680112558,0.95135021,0.285108102,0.714891898
5,4.671200128,1.681482904,2.516268944,0.359968072,0.538677187,0.898645259,0.400567486,0.599432514
6,9.594095511,3.793848622,6.526680215,0.395435778,0.68028093,1.075716708,0.367602153,0.632397847
7,13.85634029,6.165619082,9.45395385,0.444967355,0.682283608,1.127250963,0.394736726,0.605263274
